Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
CXTL11;Logística;290.89;18;0.48;0.16;0.67;1.29;0.00;0.22;0.22;0.00;0.42;-6.12;-5.97;-5.73;3747298.50;691.22;0.42;0.11;0.00;0.11;0.11;61.00;;3
PQDP11;Shoppings;289.00;8;14.29;0.71;1.99;4.20;6.23;0.66;0.70;0.52;1.58;-1.17;-0.46;0.40;800978410.08;3358.72;0.62;0.52;0.00;0.52;0.52;3.60;;1
QAGR11;Outros;48.60;10423;0.39;0.79;2.32;4.63;9.02;0.77;0.77;0.75;1.55;-2.59;-1.82;-1.07;300920810.23;59.71;0.81;0.64;-0.06;0.59;1.23;;;12
RBLG11;Logística;89.50;1;0.80;0.89;2.70;5.35;8.69;0.90;0.89;0.72;1.81;2.68;3.60;4.55;65767433.36;102.73;0.87;0.78;0.00;0.78;0.78;0.00;;1
GGRC11;Logística;109.00;15897;0.88;0.82;2.38;4.56;8.48;0.79;0.76;0.71;2.38;2.96;3.80;-5.44;124952664.93;132.11;0.83;0.64;0.05;0.69;1.35;0.00;0.00;15
CRFF11;Títulos e Val Mob;65.00;67;0.52;0.78;2.27;4.19;7.66;0.76;0.70;0.64;2.27;-0.40;0.37;-1.22;58267509.98;84.44;0.77;0.60;-1.47;-0.87;-0.28;;;0
CXRI11;Híbrido;65.48;48;0.51;0.78;2.31;4.41;7.86;0.77;0.73;0.66;2.31;0.35;1.14;-3.34;131175731.07;83.25;0.79;0.61;-1.81;-1.21;-0.61;;;0
XPHT11;Hotel;98.00;80;0.34;0.40;1.05;2.23;0.00;0.35;0.37;0.00;1.05;-18.27;-17.94;-16.89;357852662.83;94.06;1.04;;;;;64.90;;5
BREV11;Híbrido;95.70;4;0.55;0.58;1.73;3.42;6.42;0.58;0.57;0.54;1.16;0.01;0.59;1.18;106246348.14;109.85;0.87;0.50;0.02;0.52;1.03;0.00;;12
SCPF11;Shoppings;6.50;515;0.01;0.08;1.18;1.90;2.98;0.39;0.32;0.25;0.79;0.00;0.08;0.79;52564919.55;12.52;0.52;0.05;0.18;0.23;0.68;29.30;;1
FLMA11;Híbrido;118.71;234;0.67;0.58;1.86;3.14;5.27;0.62;0.52;0.44;1.19;-1.40;-0.83;-0.22;216387877.66;156.73;0.76;0.43;0.05;0.48;0.94;11.00;;2
FATN11;Híbrido;99.49;2;0.76;0.79;2.34;4.50;8.47;0.78;0.75;0.71;1.54;-5.85;-5.11;-4.40;8267257.62;101.18;0.98;0.75;0.00;0.75;0.75;4.30;;7
BIME11;;9.25;9204;0.11;1.16;3.25;0.00;0.00;1.08;0.00;0.00;2.19;-1.96;-0.83;0.20;55631464.69;9.52;0.97;1.16;-1.79;-0.65;0.37;;;0
BLMR11;Títulos e Val Mob;7.27;759638;0.08;1.00;2.98;5.59;10.21;0.99;0.93;0.85;1.94;-6.01;-5.07;-4.18;210671380.00;8.25;0.88;0.91;-2.59;-1.70;-0.83;;;0
ONEF11;Lajes Corporativas;153.91;505;0.90;0.58;1.84;3.38;6.29;0.61;0.56;0.52;1.84;6.69;7.31;15.69;159253501.27;174.81;0.88;0.51;0.02;0.53;1.03;0.00;;1
RCRB11;Lajes Corporativas;134.00;3923;0.55;0.44;1.28;3.28;6.52;0.43;0.55;0.54;1.28;-3.47;-3.05;-1.83;72444956.71;196.29;0.68;0.28;-0.17;0.11;0.39;28.40;;10
MBRF11;Outros;710.00;35;9.50;1.36;3.93;7.39;12.52;1.31;1.23;1.04;3.93;1.58;2.97;-8.60;113563302.07;1117.05;0.64;0.85;0.07;0.92;1.78;0.00;;2
HTMX11;Hotel;79.97;1397;0.00;0.00;0.80;2.20;5.41;0.27;0.37;0.45;0.80;-28.14;-28.14;-32.26;161517402.88;128.49;0.62;;;;;65.00;;23
EQIN11;Títulos e Val Mob;93.50;7984;1.33;1.41;3.80;7.24;12.59;1.27;1.21;1.05;2.80;0.23;1.65;3.07;137821478.59;94.85;0.99;1.38;0.00;1.38;1.38;;;0
GSFI11;Shoppings;4.40;11832;0.00;0.03;0.03;0.03;0.03;0.01;0.00;0.00;0.03;0.00;0.03;0.03;109460145.38;13.42;0.33;;;;;10.30;;10
CEOC11;Lajes Corporativas;59.43;770;0.49;0.87;2.42;4.80;8.78;0.81;0.80;0.73;1.69;-2.71;-1.86;-1.06;164257961.42;90.47;0.66;0.52;0.00;0.52;0.52;0.00;;1
NEWU11;Lajes Corporativas;32.42;135;0.00;0.00;0.00;0.56;16.63;0.00;0.09;1.39;0.61;-4.04;-4.04;-31.62;48320261.53;65.12;0.50;;;;;63.20;;3
PRSV11;Lajes Corporativas;114.43;1;1.62;0.42;1.53;2.91;5.95;0.51;0.48;0.50;4.46;5.30;5.74;-11.25;46748513.01;239.74;0.48;;;;;40.90;;2
FAMB11B;Lajes Corporativas;859.01;74;9.16;0.56;2.17;4.78;10.43;0.72;0.80;0.87;8.82;-47.80;-47.51;-47.80;327197260.70;3122.11;0.28;;;;;100.00;;1
FMOF11;Lajes Corporativas;65.56;101;0.64;;;;;;;;;;;;62393527.40;122.82;0.53;;;;;52.08;;1
HGRS11;Residencial;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;109990399.80;92.09;;;;;;;;0
KNRE11;Residencial;0.85;48734;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23431481.23;1.26;0.67;;;;;;;0
BRCR11;Híbrido;70.24;37686;0.50;0.74;2.15;4.22;7.63;0.72;0.70;0.64;0.74;0.00;0.74;0.74;2809345315.52;105.46;0.67;0.47;0.00;0.47;0.47;21.00;25.80;15
JRDM11;Shoppings;74.04;1787;0.41;0.54;2.57;4.25;6.39;0.86;0.71;0.53;0.54;0.00;0.54;0.54;220413917.32;87.36;0.85;;;;;2.77;;1
MAXR11;Outros;82.37;1088;0.30;0.36;1.99;4.37;8.92;0.66;0.73;0.74;0.36;0.00;0.36;0.36;135301916.97;120.20;0.69;;;;;2.80;;8
DVFF11;Híbrido;70.71;6406;0.70;0.84;2.37;0.00;0.00;0.79;0.00;0.00;1.64;-5.70;-4.91;-4.15;99876793.87;90.72;0.78;0.77;-1.31;-0.55;0.21;;;0
VSLH11;Outros;9.55;166935;0.12;1.26;3.61;7.92;15.70;1.20;1.32;1.31;2.39;-2.15;-0.92;0.19;296322696.74;9.92;0.96;1.21;0.27;1.48;2.61;;;0
TORD11;Outros;9.08;77185;0.08;0.86;2.52;6.05;10.56;0.84;1.01;0.88;1.69;-4.15;-3.32;-2.51;471197848.28;13.44;0.68;0.60;-0.26;0.33;0.93;;;0
SEQR11;Outros;68.84;3733;0.63;0.90;2.60;5.06;9.92;0.87;0.84;0.83;1.77;-3.41;-2.54;-1.69;154562144.05;96.09;0.72;0.65;0.02;0.68;1.33;0.00;;0
BTCR11;Títulos e Val Mob;98.29;8184;1.10;1.20;3.32;5.97;10.51;1.11;0.99;0.88;2.34;-0.47;0.73;1.87;46178110.46;95.86;1.03;1.15;-2.51;-1.39;-0.33;;;0
FEXC11;Títulos e Val Mob;90.51;13280;1.00;1.15;3.26;6.21;11.32;1.09;1.03;0.94;2.22;-1.91;-0.79;0.27;565514948.63;92.65;0.98;1.08;-0.67;0.40;1.42;;;0
HCTR11;Outros;119.42;77963;1.40;1.14;3.69;7.60;15.36;1.23;1.27;1.28;2.43;-2.04;-0.92;0.35;2423114873.57;119.29;1.00;1.17;1.40;2.59;3.99;;;0
BCFF11;Títulos e Val Mob;68.68;57893;0.54;0.80;2.32;4.46;8.14;0.77;0.74;0.68;1.55;-5.82;-5.06;-4.35;1975752280.88;78.45;0.88;0.69;0.00;0.69;0.69;;;0
BLMG11;Logística;85.78;9944;0.80;0.90;2.71;5.53;10.76;0.90;0.92;0.90;1.75;-5.77;-4.92;-4.11;383566653.90;100.66;0.85;0.86;-0.95;-0.09;0.76;0.00;0.00;4
DEVA11;Títulos e Val Mob;99.95;57984;1.18;1.16;3.67;7.73;14.94;1.22;1.29;1.25;2.36;-1.49;-0.35;0.85;1341411851.54;96.46;1.04;1.22;-0.31;0.91;2.21;;;0
MGFF11;Títulos e Val Mob;63.00;28369;0.55;0.89;2.62;4.91;9.16;0.87;0.82;0.76;1.76;-1.90;-1.03;-0.17;70506354.13;77.90;0.81;0.71;0.00;0.71;0.71;;;0
FAED11;Outros;132.00;2495;1.26;0.89;2.60;5.00;9.28;0.87;0.83;0.77;1.77;-1.74;-0.87;0.00;138833934.64;216.20;0.61;0.59;0.00;0.59;0.59;0.00;;3
BMLC11;Lajes Corporativas;91.00;1686;0.63;0.68;2.34;4.46;8.16;0.78;0.74;0.68;1.30;1.69;2.39;3.02;10989410.72;109.26;0.83;0.51;0.00;0.51;0.51;7.00;;2
MGLG11;Logística;50.96;2209;0.60;1.15;3.24;0.00;0.00;1.08;0.00;0.00;2.32;-4.27;-3.17;-2.05;87957969.64;76.17;0.67;0.79;-9.12;-8.41;-7.72;0.00;;3
RBRP11;Outros;66.00;21033;0.42;0.64;1.94;3.83;6.60;0.65;0.64;0.55;1.29;-5.91;-5.31;-4.69;998954452.71;82.02;0.80;0.51;-1.70;-1.19;-0.65;13.00;6.00;17
RBRL11;Logística;88.89;8048;0.60;0.70;2.26;4.80;8.67;0.75;0.80;0.72;1.35;-6.58;-5.93;-5.31;712663689.82;106.57;0.83;0.56;-0.01;0.55;1.12;0.00;0.00;6
FLCR11;Títulos e Val Mob;98.09;1624;1.10;1.10;4.22;8.45;0.00;1.41;1.41;0.00;2.49;0.66;1.77;3.18;50767777.26;101.54;0.97;1.08;1.16;2.26;2.26;;;0
RELG11;Híbrido;73.31;6466;0.70;0.89;2.76;5.78;10.52;0.92;0.96;0.88;1.76;-1.59;-0.72;0.14;162263834.97;121.59;0.60;0.58;-0.06;0.51;1.09;10.40;10.40;3
RECR11;Títulos e Val Mob;102.07;110486;1.20;1.19;3.66;7.00;13.32;1.22;1.17;1.11;2.21;-2.47;-1.31;-0.30;2311833192.13;95.30;1.07;1.26;-0.13;1.12;2.23;;;0
RECT11;Híbrido;66.00;13200;0.50;0.74;2.24;4.61;8.75;0.75;0.77;0.73;1.49;-3.46;-2.74;-2.02;797501241.94;97.50;0.68;0.51;-0.16;0.35;0.89;15.10;;8
GTLG11;;99.99;15003;0.70;0.70;2.11;0.00;0.00;0.70;0.00;0.00;1.41;1.52;2.23;2.96;699410585.54;97.51;1.03;0.72;-0.44;0.27;0.99;;;0
RBDS11;Residencial;4.00;44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3197921.02;25.28;0.16;;;;;;;0
BLCA11;Lajes Corporativas;97.99;10051;0.51;0.52;0.52;0.00;0.00;0.17;0.00;0.00;0.52;0.00;0.52;0.52;155911988.62;97.44;1.01;;;;;0.00;;1
CVBI11;Títulos e Val Mob;103.70;120486;1.12;1.10;3.29;6.72;12.16;1.10;1.12;1.01;2.20;-0.20;0.90;2.01;152787214.91;100.11;1.04;1.12;0.17;1.29;2.43;;;0
RVBI11;Títulos e Val Mob;78.00;4408;0.75;0.95;2.77;5.53;10.29;0.92;0.92;0.86;1.87;-2.32;-1.39;-0.48;125342584.12;87.04;0.90;0.86;-0.78;0.08;0.93;;;0
CPFF11;Híbrido;71.77;24996;0.63;0.89;2.76;5.02;10.72;0.92;0.84;0.89;1.88;-1.22;-0.34;0.65;424751758.01;77.94;0.92;0.91;0.00;0.91;0.91;;;0
VXXV11;Outros;852.64;7038;10.76;;;;;;;;;;;;127252326.08;719.84;1.18;;;;;;;0
BICE11;Títulos e Val Mob;;;5.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;10120315.68;912.48;;;;;;;;0
HRDF11;Híbrido;1.17;303;6.80;;;;;;;;;;;;10126109.71;1.33;0.88;;;;;;;0
CJCT11;Lajes Corporativas;72.50;219;0.00;;;;;;;;;;;;18633571.64;64.82;1.12;;;;;59.00;;1
LFTT11;Residencial;109.00;1998;0.75;;;;;;;;;;;;425557771.50;60.58;1.80;;;;;;;0
IRDM11;Títulos e Val Mob;109.73;102544;1.22;1.13;3.44;6.71;12.05;1.15;1.12;1.00;2.12;-2.26;-1.15;-0.18;3208708568.71;97.10;1.13;1.12;0.00;1.12;1.12;;;0
CXAG11;Outros;77.89;2577;0.75;0.99;0.00;0.00;0.00;0.00;0.00;0.00;0.99;0.00;0.99;0.99;214367378.45;102.54;0.76;;;;;;;0
GAME11;Híbrido;10.50;6848;1.20;1.05;3.20;0.00;0.00;1.07;0.00;0.00;2.16;5.36;6.47;7.65;203832675.80;98.95;0.11;1.21;0.16;1.38;2.61;;;0
RBRR11;Títulos e Val Mob;101.52;42344;1.10;1.07;3.22;5.98;10.74;1.07;1.00;0.90;2.14;0.14;1.21;2.29;12324300.27;98.73;1.03;1.11;0.00;1.11;1.11;;;0
