Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
RRCI11;Títulos e Val Mob;90.00;2097;1.30;1.47;4.15;7.65;12.98;1.38;1.28;1.08;4.15;1.83;3.32;7.84;4743754.10;97.65;0.92;1.23;0.29;1.52;2.69;;;0
BNFS11;Outros;118.51;494;1.22;1.02;3.05;6.21;11.47;1.02;1.03;0.96;3.05;-3.81;-2.83;-2.53;6941163.62;99.16;1.20;1.26;0.08;1.34;2.68;0.00;;18
EDFO11B;Lajes Corporativas;205.00;11;1.52;0.71;2.04;4.12;7.36;0.68;0.69;0.61;2.04;0.87;1.58;2.06;45269907.63;191.82;1.07;0.76;0.03;0.79;1.53;7.10;;1
BBRC11;Outros;97.09;1000;0.94;0.97;2.82;5.58;10.20;0.94;0.93;0.85;2.82;-0.33;0.64;-1.01;171531232.54;107.88;0.90;0.85;0.22;1.07;1.92;5.37;1.08;20
LGCP11;Logística;78.50;4632;0.60;0.76;2.24;4.31;7.95;0.75;0.72;0.66;2.24;-0.46;0.30;-2.16;278915521.65;102.06;0.77;0.59;0.01;0.60;1.18;0.50;;5
FIIB11;Híbrido;445.39;785;3.25;0.73;2.11;4.40;8.52;0.70;0.73;0.71;1.42;-3.44;-2.74;-2.07;312813785.09;456.66;0.98;0.71;-0.03;0.68;1.39;6.28;;1
PATC11;Lajes Corporativas;68.50;7881;0.32;0.46;1.37;2.78;5.59;0.46;0.46;0.47;1.37;1.92;2.40;6.72;300857960.49;86.52;0.79;0.35;0.29;0.64;0.99;21.90;18.90;6
CACR11;Híbrido;107.72;1186;1.44;1.32;4.10;8.24;14.69;1.37;1.37;1.22;4.10;-0.27;1.05;5.41;1540650.98;101.71;1.06;1.47;0.01;1.49;2.98;;;0
VRTA11;Títulos e Val Mob;103.80;69952;1.15;1.10;3.47;6.95;12.48;1.16;1.16;1.04;3.47;-0.45;0.65;2.90;1151185626.62;95.91;1.08;1.30;-0.20;1.10;2.40;;;0
LASC11;Shoppings;86.80;1;0.60;0.69;1.91;3.67;6.34;0.64;0.61;0.53;1.91;-2.18;-1.51;-1.49;283304571.65;112.50;0.77;0.32;0.00;0.32;0.32;2.40;;3
